ID,NYC-Q_lemon_1,NYC-Q_lemon_2,NYC-Q_lemon_3,NYC-Q_lemon_4,NYC-Q_lemon_5,NYC-Q_lemon_6,NYC-Q_lemon_7,NYC-Q_lemon_8,NYC-Q_lemon_9,NYC-Q_lemon_10,NYC-Q_lemon_11,NYC-Q_lemon_12,NYC-Q_lemon_13,NYC-Q_lemon_14,NYC-Q_lemon_15,NYC-Q_lemon_16,NYC-Q_lemon_17,NYC-Q_lemon_18,NYC-Q_lemon_19,NYC-Q_lemon_20,NYC-Q_lemon_21,NYC-Q_lemon_22,NYC-Q_lemon_23,NYC-Q_lemon_24,NYC-Q_lemon_25,NYC-Q_lemon_26,NYC-Q_lemon_27,NYC-Q_lemon_28,NYC-Q_lemon_29,NYC-Q_lemon_30,NYC-Q_lemon_31,Unnamed: 32,Unnamed: 33
sub-010092,1.0,6,1.0,7,2.0,4.0,1.0,7,1,1,1,8.0,7.0,4,1.0,4.0,6.0,6.0,1.0,7,1.0,6,1,6.0,1.0,5,6.0,7.0,7.0,1.0,2.0,,
sub-010093,1.0,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1.0,1.0,9,5.0,1.0,1.0,1.0,1.0,1,1.0,1,1,7.0,5.0,8,8.0,2.0,2.0,5.0,5.0,,
sub-010094,3.0,7,9.0,7,9.0,8.0,8.0,6,3,1,3,5.0,6.0,8,3.0,9.0,7.0,5.0,7.0,2,2.0,4,2,8.0,6.0,8,2.0,5.0,3.0,5.0,5.0,,
sub-010100,3.0,4,7.0,5,8.0,2.0,6.0,2,2,1,1,8.0,7.0,8,6.0,5.0,7.0,7.0,8.0,1,1.0,2,4,8.0,2.0,3,7.0,4.0,7.0,4.0,3.0,,
sub-010104,1.0,4,1.0,5,7.0,1.0,1.0,1,1,1,1,4.0,8.0,4,5.0,4.0,1.0,3.0,1.0,7,7.0,1,1,6.0,4.0,4,1.0,3.0,8.0,2.0,2.0,,
sub-010110,3.0,6,5.0,7,7.0,6.0,2.0,8,1,4,6,9.0,6.0,5,9.0,6.0,5.0,7.0,9.0,6,7.0,1,8,6.0,9.0,9,6.0,2.0,8.0,2.0,5.0,,
sub-010126,4.0,8,7.0,5,6.0,7.0,2.0,1,1,1,1,7.0,6.0,5,1.0,9.0,4.0,1.0,9.0,8,8.0,1,3,5.0,8.0,1,1.0,3.0,9.0,2.0,3.0,,
sub-010134,3.0,6,7.0,1,5.0,7.0,7.0,7,3,2,4,4.0,2.0,2,7.0,4.0,2.0,7.0,7.0,7,3.0,2,6,8.0,3.0,8,4.0,4.0,2.0,6.0,8.0,,
sub-010136,3.0,7,7.0,7,4.0,6.0,3.0,6,2,1,1,5.0,4.0,2,5.0,2.0,2.0,5.0,7.0,7,5.0,1,1,6.0,1.0,6,5.0,3.0,7.0,2.0,4.0,,
sub-010137,8.0,9,7.0,3,9.0,8.0,9.0,9,9,2,5,2.0,4.0,7,9.0,9.0,7.0,9.0,8.0,7,3.0,1,5,9.0,9.0,8,7.0,4.0,7.0,7.0,8.0,,
sub-010138,1.0,1,3.0,1,5.0,7.0,5.0,1,1,7,5,7.0,6.0,9,6.0,9.0,3.0,1.0,3.0,4,6.0,1,8,8.0,2.0,4,8.0,4.0,5.0,5.0,7.0,,
sub-010141,4.0,7,5.0,7,8.0,2.0,7.0,8,1,1,3,1.0,7.0,5,1.0,5.0,8.0,8.0,1.0,7,1.0,1,1,3.0,3.0,1,7.0,7.0,5.0,5.0,9.0,,
sub-010142,2.0,4,4.0,2,9.0,2.0,3.0,8,1,1,1,1.0,7.0,7,8.0,1.0,1.0,1.0,9.0,8,1.0,1,1,1.0,9.0,7,1.0,6.0,8.0,1.0,1.0,,
sub-010146,1.0,2,2.0,1,1.0,1.0,1.0,1,1,1,1,1.0,1.0,1,6.0,3.0,1.0,7.0,7.0,2,1.0,1,1,2.0,5.0,1,1.0,1.0,2.0,8.0,7.0,,
sub-010148,1.0,4,4.0,8,2.0,1.0,1.0,1,1,1,1,9.0,8.0,8,1.0,7.0,1.0,1.0,5.0,5,5.0,1,1,9.0,2.0,2,2.0,3.0,8.0,1.0,5.0,,
sub-010150,1.0,2,3.0,2,2.0,2.0,2.0,2,1,1,2,1.0,3.0,4,1.0,1.0,1.0,1.0,1.0,1,1.0,5,1,9.0,1.0,1,8.0,1.0,3.0,5.0,7.0,,
sub-010152,7.0,8,1.0,4,2.0,,2.0,8,2,2,2,4.0,4.0,4,2.0,8.0,8.0,2.0,2.0,8,8.0,2,2,7.0,4.0,7,2.0,7.0,4.0,7.0,7.0,,
sub-010155,9.0,9,9.0,4,4.0,6.0,9.0,7,6,9,9,2.0,3.0,3,1.0,9.0,1.0,1.0,1.0,8,8.0,1,9,9.0,9.0,7,9.0,9.0,9.0,2.0,4.0,,
sub-010157,1.0,7,9.0,8,2.0,1.0,1.0,1,1,1,2,5.0,5.0,2,1.0,7.0,1.0,1.0,9.0,9,7.0,1,1,9.0,1.0,9,2.0,6.0,3.0,8.0,6.0,,
sub-010162,3.0,3,6.0,1,6.0,4.0,4.0,1,6,4,2,8.0,8.0,6,2.0,2.0,9.0,2.0,7.0,6,1.0,9,1,3.0,1.0,2,9.0,8.0,9.0,1.0,9.0,,
sub-010163,1.0,4,3.0,1,2.0,2.0,4.0,5,2,1,2,3.0,3.0,6,8.0,4.0,1.0,2.0,5.0,4,1.0,1,3,7.0,3.0,3,7.0,1.0,3.0,6.0,8.0,,
sub-010164,2.0,7,5.0,2,1.0,3.0,2.0,1,2,1,1,5.0,2.0,7,9.0,4.0,9.0,3.0,8.0,9,1.0,1,9,9.0,1.0,3,1.0,7.0,4.0,7.0,9.0,,
sub-010165,4.0,9,9.0,3,6.0,7.0,8.0,8,7,7,2,8.0,7.0,6,1.0,8.0,3.0,1.0,9.0,8,4.0,2,7,8.0,6.0,4,2.0,4.0,3.0,6.0,7.0,,
sub-010166,4.0,7,2.0,6,3.0,1.0,3.0,8,1,1,1,6.0,5.0,7,5.0,8.0,2.0,8.0,9.0,8,2.0,2,7,9.0,5.0,1,5.0,2.0,5.0,6.0,7.0,,
sub-010168,1.0,8,3.0,1,7.0,2.0,6.0,1,1,2,4,4.0,8.0,7,5.0,1.0,1.0,7.0,7.0,1,7.0,1,9,1.0,1.0,6,2.0,4.0,8.0,6.0,6.0,,
sub-010169,7.0,9,5.0,3,9.0,1.0,1.0,6,1,7,7,9.0,8.0,5,7.0,7.0,1.0,1.0,7.0,9,1.0,1,8,1.0,1.0,6,1.0,5.0,1.0,4.0,8.0,,
sub-010170,1.0,7,7.0,1,1.0,1.0,8.0,5,1,1,1,1.0,1.0,1,1.0,1.0,1.0,1.0,7.0,8,,1,1,9.0,1.0,1,1.0,3.0,9.0,1.0,4.0,,
sub-010176,1.0,6,7.0,8,1.0,1.0,1.0,7,1,1,1,6.0,5.0,1,8.0,1.0,1.0,1.0,7.0,6,1.0,1,1,8.0,1.0,1,6.0,1.0,8.0,7.0,9.0,,
sub-010183,7.0,4,3.0,1,3.0,5.0,3.0,6,1,3,3,4.0,4.0,7,8.0,3.0,5.0,6.0,9.0,7,3.0,1,4,1.0,7.0,7,4.0,1.0,2.0,7.0,9.0,,
sub-010191,9.0,7,5.0,3,3.0,1.0,7.0,1,1,7,2,2.0,2.0,2,9.0,2.0,1.0,3.0,6.0,1,1.0,1,6,4.0,9.0,8,2.0,2.0,8.0,1.0,2.0,,
sub-010192,6.0,8,1.0,1,1.0,1.0,1.0,1,1,1,1,7.0,5.0,7,1.0,1.0,1.0,,8.0,6,6.0,1,1,6.0,4.0,9,6.0,1.0,1.0,6.0,1.0,,
sub-010193,7.0,9,8.0,7,6.0,7.0,7.0,8,3,6,2,9.0,8.0,9,1.0,7.0,7.0,4.0,9.0,9,8.0,2,2,8.0,6.0,8,8.0,7.0,8.0,5.0,2.0,,
sub-010194,1.0,9,9.0,1,1.0,3.0,9.0,6,6,5,5,1.0,3.0,8,3.0,1.0,1.0,1.0,8.0,5,7.0,1,7,1.0,1.0,1,1.0,1.0,6.0,9.0,9.0,,
sub-010195,1.0,9,9.0,1,3.0,1.0,1.0,1,1,1,1,9.0,9.0,9,9.0,6.0,1.0,1.0,9.0,9,1.0,1,1,9.0,1.0,1,9.0,1.0,9.0,1.0,1.0,,
sub-010196,2.0,8,8.0,7,7.0,3.0,5.0,4,2,3,1,4.0,5.0,5,1.0,7.0,4.0,1.0,7.0,1,1.0,1,7,3.0,6.0,5,1.0,2.0,3.0,7.0,4.0,,
sub-010197,9.0,9,9.0,1,9.0,6.0,9.0,8,4,1,5,6.0,1.0,1,1.0,9.0,4.0,1.0,9.0,9,6.0,1,9,9.0,5.0,6,9.0,8.0,9.0,4.0,4.0,,
sub-010199,1.0,7,6.0,8,8.0,9.0,1.0,9,1,1,1,9.0,9.0,9,5.0,9.0,1.0,1.0,9.0,9,9.0,1,1,6.0,1.0,1,1.0,7.0,7.0,1.0,6.0,,
sub-010200,5.0,8,8.0,8,4.0,2.0,8.0,9,1,2,3,8.0,7.0,8,9.0,9.0,8.0,6.0,9.0,5,8.0,3,1,8.0,3.0,8,9.0,3.0,5.0,7.0,7.0,,
sub-010201,3.0,5,4.0,1,6.0,1.0,2.0,5,1,1,1,4.0,6.0,6,1.0,3.0,1.0,1.0,7.0,6,1.0,3,5,7.0,5.0,5,3.0,2.0,2.0,8.0,8.0,,
sub-010202,5.0,8,6.0,3,3.0,3.0,4.0,4,1,1,1,5.0,5.0,5,2.0,7.0,7.0,2.0,2.0,9,9.0,1,1,8.0,2.0,8,3.0,8.0,8.0,4.0,5.0,,
sub-010203,2.0,6,7.0,8,8.0,8.0,6.0,7,3,1,1,7.0,7.0,5,6.0,5.0,7.0,1.0,1.0,7,7.0,7,6,9.0,3.0,5,9.0,7.0,7.0,8.0,9.0,,
sub-010204,6.0,9,9.0,1,3.0,8.0,2.0,8,2,4,4,6.0,7.0,4,8.0,8.0,3.0,7.0,7.0,8,5.0,1,8,6.0,2.0,2,6.0,2.0,6.0,6.0,7.0,,
sub-010207,3.0,6,8.0,8,3.0,1.0,8.0,3,1,1,5,7.0,7.0,7,1.0,1.0,1.0,1.0,7.0,7,1.0,1,1,9.0,1.0,1,7.0,7.0,7.0,1.0,4.0,,
sub-010210,7.0,7,5.0,1,8.0,3.0,6.0,6,3,5,6,3.0,3.0,4,9.0,7.0,6.0,8.0,9.0,5,8.0,2,9,9.0,2.0,3,7.0,5.0,1.0,6.0,7.0,,
sub-010213,3.0,5,4.0,4,6.0,2.0,1.0,1,1,1,1,3.0,7.0,1,5.0,2.0,1.0,3.0,3.0,4,6.0,2,2,7.0,4.0,5,7.0,1.0,1.0,8.0,8.0,,
sub-010214,2.0,7,5.0,1,2.0,5.0,6.0,2,1,1,2,5.0,6.0,8,7.0,3.0,1.0,2.0,2.0,6,1.0,2,7,8.0,2.0,2,7.0,2.0,3.0,9.0,8.0,,
sub-010215,1.0,6,6.0,1,1.0,1.0,2.0,4,1,1,1,3.0,3.0,5,7.0,7.0,4.0,6.0,8.0,2,6.0,2,3,7.0,4.0,7,3.0,8.0,6.0,5.0,4.0,,
sub-010216,3.0,9,6.0,2,1.0,1.0,1.0,9,1,1,1,6.0,5.0,1,7.0,9.0,7.0,1.0,5.0,9,1.0,1,9,6.0,6.0,1,1.0,1.0,9.0,5.0,5.0,,
sub-010218,9.0,9,9.0,9,9.0,9.0,6.0,6,1,1,1,6.0,6.0,6,9.0,9.0,9.0,6.0,9.0,9,9.0,9,9,9.0,1.0,9,4.0,6.0,6.0,4.0,4.0,,
sub-010219,1.0,7,2.0,6,1.0,1.0,6.0,6,1,1,1,7.0,7.0,7,4.0,7.0,4.0,6.0,6.0,7,1.0,6,5,6.0,1.0,3,5.0,1.0,7.0,1.0,1.0,,
sub-010220,5.0,6,6.0,1,2.0,1.0,1.0,1,1,1,7,1.0,1.0,9,7.0,1.0,1.0,2.0,6.0,1,1.0,1,5,3.0,7.0,4,1.0,1.0,9.0,9.0,9.0,,
sub-010222,5.0,5,3.0,1,6.0,1.0,8.0,6,1,3,9,1.0,1.0,1,6.0,5.0,4.0,5.0,5.0,7,4.0,6,8,3.0,6.0,6,3.0,7.0,1.0,5.0,6.0,,
sub-010223,1.0,1,1.0,1,1.0,1.0,1.0,1,1,1,1,9.0,1.0,9,1.0,1.0,1.0,1.0,9.0,1,1.0,1,1,9.0,9.0,1,1.0,1.0,1.0,1.0,1.0,,
sub-010224,7.0,9,8.0,4,4.0,5.0,7.0,7,2,1,1,5.0,5.0,8,1.0,6.0,3.0,1.0,7.0,7,1.0,9,4,9.0,1.0,1,6.0,6.0,9.0,2.0,8.0,,
sub-010225,3.0,7,3.0,1,1.0,1.0,1.0,4,1,1,1,1.0,4.0,8,1.0,3.0,1.0,1.0,8.0,5,1.0,1,1,5.0,1.0,1,2.0,1.0,4.0,2.0,3.0,,
sub-010226,6.0,7,7.0,9,6.0,3.0,9.0,9,3,1,1,9.0,9.0,9,1.0,3.0,9.0,3.0,9.0,9,2.0,2,8,9.0,6.0,3,7.0,6.0,9.0,6.0,7.0,,
sub-010227,5.0,5,9.0,9,9.0,2.0,4.0,5,1,1,1,7.0,6.0,5,9.0,9.0,5.0,9.0,9.0,8,7.0,2,5,6.0,4.0,6,2.0,7.0,7.0,2.0,2.0,,
sub-010228,6.0,4,1.0,1,1.0,2.0,4.0,5,2,1,2,1.0,3.0,5,4.0,3.0,1.0,1.0,6.0,5,2.0,1,1,3.0,2.0,7,2.0,6.0,6.0,3.0,3.0,,
sub-010229,1.0,1,7.0,1,1.0,1.0,1.0,1,1,1,1,8.0,7.0,5,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1,3.0,9.0,8,2.0,2.0,7.0,6.0,2.0,,
sub-010230,5.0,7,6.0,5,5.0,3.0,6.0,3,2,2,2,7.0,7.0,6,6.0,7.0,6.0,2.0,7.0,7,2.0,2,7,8.0,4.0,3,7.0,6.0,6.0,4.0,5.0,,
sub-010231,3.0,4,4.0,2,2.0,7.0,4.0,7,1,1,3,6.0,6.0,4,1.0,6.0,6.0,1.0,6.0,7,8.0,6,5,7.0,6.0,4,5.0,2.0,4.0,4.0,4.0,,
sub-010232,2.0,2,2.0,1,5.0,7.0,2.0,3,1,1,4,2.0,2.0,2,1.0,2.0,3.0,5.0,1.0,1,3.0,9,1,1.0,1.0,1,4.0,2.0,1.0,9.0,3.0,,
sub-010233,1.0,7,7.0,7,8.0,3.0,5.0,7,5,2,2,5.0,7.0,8,8.0,7.0,7.0,1.0,7.0,5,5.0,8,8,6.0,3.0,9,3.0,5.0,3.0,8.0,8.0,,
sub-010234,1.0,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1.0,1.0,1,1.0,1.0,,3.0,1.0,1,1.0,1,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,,
sub-010235,1.0,9,9.0,5,1.0,1.0,1.0,1,1,1,1,9.0,9.0,8,5.0,9.0,1.0,1.0,9.0,9,9.0,9,9,9.0,1.0,7,5.0,9.0,9.0,1.0,5.0,,
sub-010236,1.0,1,4.0,2,6.0,2.0,1.0,7,1,1,1,1.0,,6,6.0,1.0,1.0,6.0,6.0,7,5.0,3,2,5.0,6.0,6,1.0,1.0,7.0,7.0,5.0,,
sub-010237,2.0,9,6.0,1,5.0,1.0,1.0,1,1,1,1,5.0,5.0,3,7.0,1.0,1.0,7.0,7.0,7,1.0,1,1,9.0,5.0,1,5.0,1.0,9.0,3.0,7.0,,
sub-010238,3.0,9,9.0,4,8.0,9.0,9.0,9,7,2,2,,9.0,7,6.0,9.0,2.0,9.0,9.0,9,6.0,7,7,9.0,7.0,8,9.0,8.0,9.0,5.0,5.0,,
sub-010239,3.0,6,6.0,6,3.0,3.0,2.0,2,2,2,2,4.0,4.0,5,3.0,4.0,4.0,5.0,6.0,4,3.0,3,3,5.0,4.0,3,3.0,5.0,4.0,6.0,5.0,,
sub-010240,1.0,2,2.0,1,1.0,3.0,3.0,3,1,1,1,1.0,1.0,5,5.0,5.0,1.0,5.0,5.0,1,1.0,1,3,5.0,1.0,1,5.0,2.0,2.0,4.0,7.0,,
sub-010241,3.0,9,7.0,3,6.0,8.0,4.0,6,2,4,1,5.0,5.0,7,9.0,9.0,6.0,9.0,9.0,7,6.0,2,5,4.0,8.0,8,2.0,4.0,3.0,6.0,4.0,,
sub-010242,5.0,8,8.0,9,9.0,1.0,1.0,9,1,4,1,7.0,8.0,7,1.0,7.0,1.0,1.0,9.0,9,1.0,7,1,9.0,5.0,6,3.0,1.0,9.0,1.0,5.0,,
sub-010243,1.0,9,9.0,1,1.0,1.0,1.0,9,1,1,1,9.0,9.0,5,9.0,1.0,1.0,1.0,9.0,1,1.0,1,1,1.0,1.0,1,1.0,9.0,9.0,1.0,1.0,,
sub-010244,1.0,1,1.0,4,4.0,1.0,1.0,1,1,1,1,4.0,4.0,6,4.0,4.0,8.0,1.0,6.0,1,5.0,1,1,6.0,1.0,5,5.0,1.0,6.0,3.0,6.0,,
sub-010245,1.0,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1.0,1.0,2,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,1.0,1,1.0,1.0,1.0,7.0,1.0,,
sub-010246,1.0,4,4.0,4,1.0,1.0,1.0,3,1,1,1,5.0,4.0,2,3.0,2.0,1.0,1.0,6.0,7,1.0,1,2,4.0,3.0,5,1.0,1.0,4.0,4.0,3.0,,
sub-010247,4.0,9,9.0,9,5.0,2.0,4.0,2,6,3,8,8.0,5.0,4,1.0,8.0,8.0,5.0,1.0,6,1.0,1,1,7.0,4.0,2,2.0,2.0,1.0,1.0,3.0,,
sub-010248,1.0,6,6.0,5,6.0,2.0,1.0,1,1,1,1,5.0,5.0,8,8.0,6.0,1.0,3.0,8.0,6,4.0,1,1,8.0,4.0,3,7.0,7.0,8.0,2.0,1.0,,
sub-010249,1.0,6,6.0,7,1.0,3.0,1.0,1,1,1,1,1.0,1.0,3,4.0,3.0,1.0,7.0,4.0,3,1.0,1,1,1.0,7.0,5,1.0,1.0,7.0,5.0,2.0,,
sub-010250,1.0,1,1.0,1,1.0,1.0,5.0,1,1,1,1,6.0,6.0,6,1.0,1.0,3.0,1.0,1.0,1,1.0,6,1,6.0,6.0,6,1.0,6.0,6.0,1.0,1.0,,
sub-010251,1.0,8,8.0,2,1.0,1.0,1.0,1,1,2,1,7.0,5.0,5,5.0,5.0,1.0,7.0,7.0,2,1.0,1,1,4.0,4.0,4,1.0,2.0,8.0,1.0,1.0,,
sub-010252,1.0,3,4.0,1,6.0,1.0,1.0,1,1,1,1,4.0,6.0,6,1.0,1.0,1.0,1.0,6.0,1,1.0,1,1,1.0,1.0,1,8.0,1.0,2.0,9.0,9.0,,
sub-010253,1.0,6,9.0,9,7.0,5.0,1.0,1,1,1,1,9.0,9.0,1,4.0,7.0,1.0,4.0,9.0,6,2.0,1,1,7.0,2.0,6,7.0,1.0,7.0,5.0,7.0,,
sub-010254,8.0,8,8.0,7,1.0,1.0,1.0,1,1,1,1,5.0,5.0,6,9.0,7.0,1.0,1.0,8.0,1,7.0,1,9,9.0,2.0,7,1.0,9.0,9.0,1.0,2.0,,
sub-010255,1.0,4,3.0,1,2.0,1.0,1.0,1,1,6,1,1.0,1.0,6,6.0,1.0,1.0,1.0,1.0,5,1.0,1,1,9.0,1.0,1,8.0,4.0,2.0,1.0,1.0,,
sub-010256,1.0,2,2.0,3,4.0,4.0,1.0,5,1,4,3,3.0,3.0,6,9.0,6.0,7.0,7.0,9.0,8,,6,8,9.0,8.0,1,9.0,5.0,4.0,7.0,7.0,,
sub-010257,1.0,6,2.0,3,5.0,7.0,4.0,6,1,1,1,5.0,4.0,6,1.0,4.0,6.0,4.0,5.0,4,2.0,3,3,6.0,4.0,4,6.0,5.0,3.0,7.0,6.0,,
sub-010258,1.0,8,8.0,9,1.0,1.0,1.0,1,1,1,1,9.0,8.0,9,1.0,9.0,9.0,1.0,9.0,9,1.0,7,7,7.0,1.0,1,8.0,1.0,2.0,2.0,8.0,,
sub-010260,1.0,5,6.0,1,2.0,1.0,2.0,7,6,1,1,8.0,8.0,9,1.0,1.0,1.0,1.0,8.0,1,1.0,1,1,7.0,4.0,1,1.0,1.0,7.0,3.0,2.0,,
sub-010261,7.0,7,6.0,1,1.0,1.0,1.0,6,1,1,1,5.0,5.0,4,1.0,3.0,1.0,6.0,6.0,7,4.0,1,5,8.0,2.0,7,1.0,2.0,8.0,2.0,2.0,,
sub-010262,1.0,5,4.0,4,5.0,1.0,2.0,1,1,2,2,8.0,7.0,5,1.0,1.0,3.0,1.0,1.0,2,1.0,1,1,8.0,2.0,8,2.0,2.0,8.0,2.0,5.0,,
sub-010263,6.0,8,7.0,3,7.0,4.0,8.0,8,6,3,2,8.0,7.0,7,6.0,3.0,6.0,6.0,7.0,6,3.0,3,5,8.0,2.0,6,6.0,7.0,4.0,2.0,5.0,,
sub-010264,3.0,3,5.0,7,2.0,3.0,3.0,3,1,1,2,1.0,1.0,1,7.0,7.0,1.0,1.0,7.0,3,1.0,4,2,8.0,4.0,5,6.0,3.0,8.0,2.0,2.0,,
sub-010265,7.0,7,6.0,3,5.0,2.0,7.0,8,7,5,6,4.0,4.0,5,7.0,5.0,7.0,5.0,3.0,3,7.0,2,2,6.0,2.0,7,4.0,6.0,6.0,3.0,5.0,,
sub-010266,7.0,9,6.0,4,4.0,1.0,1.0,6,1,3,6,1.0,1.0,1,3.0,9.0,2.0,1.0,9.0,7,6.0,1,4,4.0,3.0,8,5.0,3.0,3.0,4.0,2.0,,
sub-010267,2.0,5,1.0,1,3.0,3.0,1.0,2,1,2,2,2.0,2.0,3,3.0,7.0,6.0,5.0,7.0,6,7.0,6,5,1.0,1.0,1,1.0,1.0,2.0,1.0,1.0,,
sub-010268,1.0,2,8.0,7,2.0,2.0,2.0,2,1,1,5,8.0,8.0,5,7.0,8.0,2.0,4.0,7.0,1,2.0,2,8,8.0,2.0,3,8.0,5.0,7.0,3.0,6.0,,.
sub-010269,2.0,6,8.0,9,8.0,1.0,9.0,1,1,5,8,2.0,7.0,7,9.0,5.0,9.0,1.0,1.0,9,1.0,1,1,8.0,7.0,4,8.0,3.0,2.0,7.0,8.0,,
sub-010270,3.0,8,6.0,6,2.0,1.0,1.0,4,1,2,1,3.0,2.0,1,7.0,1.0,1.0,1.0,7.0,6,1.0,1,1,2.0,8.0,7,2.0,6.0,7.0,5.0,5.0,,
sub-010271,7.0,6,6.0,3,,7.0,2.0,6,1,1,1,8.0,8.0,8,5.0,6.0,1.0,6.0,7.0,7,3.0,1,1,8.0,7.0,4,6.0,3.0,5.0,3.0,6.0,,
sub-010272,3.0,1,3.0,1,1.0,1.0,2.0,2,1,1,1,1.0,1.0,1,2.0,2.0,1.0,1.0,1.0,1,1.0,1,1,1.0,1.0,1,1.0,1.0,9.0,9.0,5.0,,
sub-010273,2.0,7,5.0,1,1.0,7.0,1.0,1,1,4,2,4.0,4.0,2,1.0,1.0,4.0,1.0,1.0,4,7.0,1,1,6.0,1.0,1,1.0,5.0,6.0,2.0,2.0,,
sub-010274,3.0,3,4.0,1,1.0,3.0,1.0,1,1,7,5,4.0,4.0,1,1.0,8.0,8.0,1.0,1.0,1,1.0,1,1,8.0,1.0,4,8.0,1.0,1.0,3.0,8.0,,
sub-010275,1.0,5,5.0,2,2.0,2.0,2.0,2,1,1,1,1.0,1.0,3,6.0,3.0,3.0,5.0,5.0,7,3.0,3,4,3.0,4.0,2,2.0,2.0,2.0,6.0,7.0,,
sub-010276,3.0,4,3.0,1,1.0,1.0,4.0,1,1,1,5,1.0,1.0,6,1.0,1.0,1.0,1.0,5.0,4,1.0,1,1,9.0,6.0,7,8.0,6.0,9.0,6.0,9.0,,
sub-010277,2.0,9,3.0,1,1.0,5.0,1.0,1,1,9,1,1.0,5.0,8,9.0,1.0,1.0,1.0,1.0,1,1.0,1,9,9.0,1.0,1,5.0,5.0,1.0,1.0,1.0,,
sub-010278,1.0,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,,
sub-010279,2.0,5,7.0,8,5.0,6.0,1.0,6,1,2,1,6.0,6.0,6,2.0,1.0,1.0,2.0,9.0,8,7.0,2,2,7.0,8.0,8,4.0,5.0,5.0,6.0,6.0,,
sub-010280,1.0,1,3.0,3,1.0,1.0,1.0,1,1,1,1,9.0,9.0,9,1.0,1.0,1.0,1.0,,9,9.0,9,1,9.0,1.0,1,1.0,1.0,9.0,1.0,1.0,,
sub-010281,1.0,1,9.0,9,1.0,1.0,1.0,1,1,1,1,1.0,1.0,9,1.0,1.0,1.0,1.0,1.0,1,1.0,1,1,1.0,1.0,1,1.0,1.0,9.0,1.0,1.0,,
sub-010282,7.0,8,7.0,4,5.0,7.0,7.0,6,2,2,2,5.0,4.0,7,2.0,7.0,7.0,3.0,5.0,8,4.0,6,8,9.0,2.0,2,8.0,8.0,5.0,5.0,7.0,,
sub-010283,1.0,2,5.0,7,5.0,1.0,1.0,1,1,1,1,1.0,1.0,4,5.0,2.0,1.0,1.0,8.0,1,1.0,1,1,1.0,5.0,5,1.0,3.0,8.0,1.0,1.0,,
sub-010284,1.0,7,3.0,7,2.0,2.0,3.0,2,1,2,2,4.0,4.0,6,2.0,6.0,2.0,3.0,8.0,7,3.0,3,1,1.0,6.0,6,7.0,1.0,2.0,7.0,1.0,,
sub-010285,6.0,7,7.0,8,1.0,1.0,1.0,1,1,1,1,1.0,1.0,1,1.0,1.0,1.0,5.0,7.0,1,1.0,1,1,1.0,1.0,1,1.0,1.0,5.0,6.0,6.0,,
sub-010286,1.0,8,8.0,9,1.0,1.0,1.0,1,1,1,1,1.0,1.0,8,1.0,8.0,1.0,1.0,1.0,8,1.0,1,1,1.0,8.0,8,1.0,8.0,8.0,1.0,1.0,,
sub-010287,1.0,5,6.0,3,1.0,1.0,4.0,6,1,1,3,4.0,1.0,7,8.0,5.0,1.0,1.0,7.0,7,1.0,1,1,7.0,8.0,3,,1.0,7.0,1.0,4.0,,
sub-010288,1.0,1,1.0,5,2.0,1.0,4.0,1,1,1,4,1.0,1.0,1,5.0,1.0,4.0,1.0,1.0,3,1.0,1,1,2.0,8.0,8,1.0,6.0,4.0,4.0,5.0,,
sub-010289,1.0,1,1.0,1,1.0,1.0,1.0,1,1,1,1,3.0,2.0,9,2.0,4.0,1.0,6.0,6.0,5,4.0,1,1,2.0,2.0,9,7.0,5.0,5.0,2.0,2.0,,
sub-010290,1.0,7,1.0,6,1.0,1.0,1.0,1,1,1,1,1.0,1.0,3,5.0,1.0,1.0,1.0,5.0,1,1.0,1,1,1.0,9.0,9,1.0,1.0,7.0,8.0,1.0,,
sub-010291,1.0,5,5.0,1,6.0,6.0,9.0,9,1,2,7,7.0,1.0,1,1.0,3.0,9.0,1.0,4.0,6,6.0,5,2,9.0,9.0,9,9.0,9.0,1.0,1.0,1.0,,
sub-010292,1.0,4,3.0,3,2.0,1.0,1.0,1,1,1,1,1.0,1.0,6,7.0,1.0,1.0,,1.0,2,1.0,1,2,5.0,5.0,7,1.0,1.0,8.0,7.0,8.0,,
sub-010293,7.0,9,8.0,4,8.0,7.0,1.0,9,1,1,8,4.0,1.0,9,1.0,9.0,5.0,1.0,9.0,9,4.0,1,1,9.0,7.0,7,8.0,1.0,5.0,5.0,9.0,,
sub-010294,9.0,9,9.0,4,4.0,1.0,9.0,9,1,1,1,9.0,9.0,9,1.0,9.0,6.0,1.0,9.0,9,7.0,1,9,9.0,2.0,6,9.0,9.0,6.0,1.0,1.0,,
