ID,MDBF_Day2_GS_Scale,MDBF_Day2_WM_Scale,MDBF_Day2_RU_Scale
sub-010017,,,
sub-010015,35.0,31.0,32.0
sub-010100,32.0,33.0,30.0
sub-010003,31.0,17.0,27.0
sub-010022,24.0,28.0,27.0
sub-010021,34.0,20.0,30.0
sub-010023,38.0,28.0,36.0
sub-010104,35.0,33.0,30.0
sub-010010,32.0,31.0,29.0
sub-010016,36.0,40.0,38.0
sub-010019,36.0,24.0,36.0
sub-010024,29.0,21.0,26.0
sub-010169,,,
sub-010026,40.0,40.0,35.0
sub-010027,34.0,34.0,36.0
sub-010134,35.0,34.0,32.0
sub-010028,37.0,30.0,33.0
sub-010029,34.0,36.0,38.0
sub-010030,37.0,33.0,37.0
sub-010150,29.0,16.0,29.0
sub-010032,36.0,23.0,26.0
sub-010031,36.0,33.0,33.0
sub-010321,39.0,25.0,34.0
sub-010033,35.0,31.0,32.0
sub-010020,25.0,11.0,22.0
sub-010170,30.0,26.0,30.0
sub-010110,32.0,29.0,31.0
sub-010183,37.0,35.0,36.0
sub-010035,33.0,16.0,36.0
sub-010197,35.0,39.0,36.0
sub-010202,35.0,23.0,33.0
sub-010034,39.0,32.0,39.0
sub-010199,34.0,24.0,38.0
sub-010040,40.0,39.0,40.0
sub-010039,37.0,39.0,32.0
sub-010006,36.0,29.0,35.0
sub-010012,38.0,35.0,39.0
sub-010219,37.0,40.0,37.0
sub-010041,31.0,25.0,25.0
sub-010222,36.0,32.0,33.0
sub-010002,36.0,40.0,36.0
sub-010004,35.0,36.0,34.0
sub-010044,35.0,36.0,32.0
sub-010037,36.0,32.0,38.0
sub-010223,40.0,36.0,30.0
sub-010043,38.0,40.0,33.0
sub-010045,33.0,31.0,25.0
sub-010047,25.0,30.0,27.0
sub-010007,36.0,36.0,39.0
sub-010046,36.0,32.0,35.0
sub-010048,38.0,39.0,38.0
sub-010049,36.0,,36.0
sub-010234,39.0,36.0,34.0
sub-010059,32.0,28.0,33.0
sub-010236,32.0,32.0,34.0
sub-010056,40.0,32.0,30.0
sub-010062,31.0,22.0,31.0
sub-010063,35.0,36.0,38.0
sub-010060,36.0,35.0,34.0
sub-010051,40.0,,40.0
sub-010050,37.0,25.0,36.0
sub-010042,33.0,34.0,32.0
sub-010068,38.0,32.0,37.0
sub-010070,39.0,32.0,38.0
sub-010238,35.0,31.0,29.0
sub-010207,29.0,21.0,29.0
sub-010069,25.0,36.0,28.0
sub-010073,32.0,31.0,32.0
sub-010075,30.0,37.0,31.0
sub-010076,34.0,24.0,29.0
