ID,MDBF_Day2_GS_Scale,MDBF_Day2_WM_Scale,MDBF_Day2_RU_Scale
sub-010065,40.0,31.0,39.0
sub-010077,36.0,37.0,36.0
sub-010061,34.0,33.0,37.0
sub-010074,39.0,34.0,37.0
sub-010078,40.0,23.0,40.0
sub-010052,35.0,25.0,21.0
sub-010071,35.0,38.0,37.0
sub-010080,35.0,26.0,34.0
sub-010067,36.0,26.0,35.0
sub-010064,39.0,37.0,37.0
sub-010072,36.0,36.0,34.0
sub-010081,38.0,38.0,38.0
sub-010079,36.0,38.0,38.0
sub-010240,32.0,15.0,32.0
sub-010083,35.0,27.0,34.0
sub-010084,32.0,24.0,29.0
sub-010053,,,
sub-010237,39.0,40.0,40.0
sub-010085,33.0,20.0,36.0
sub-010066,34.0,36.0,35.0
sub-010086,,,
sub-010235,30.0,31.0,31.0
sub-010089,40.0,38.0,38.0
sub-010087,37.0,33.0,32.0
sub-010242,36.0,30.0,35.0
sub-010038,36.0,34.0,28.0
sub-010246,38.0,38.0,39.0
sub-010243,34.0,30.0,35.0
sub-010090,32.0,29.0,24.0
sub-010247,38.0,34.0,33.0
sub-010248,39.0,36.0,34.0
sub-010244,36.0,36.0,36.0
sub-010250,33.0,36.0,30.0
sub-010088,33.0,31.0,33.0
sub-010251,37.0,37.0,34.0
sub-010091,36.0,36.0,32.0
sub-010245,34.0,28.0,26.0
sub-010249,38.0,39.0,39.0
sub-010092,31.0,26.0,31.0
sub-010241,38.0,31.0,35.0
sub-010094,35.0,28.0,32.0
sub-010252,35.0,35.0,36.0
sub-010126,35.0,35.0,36.0
sub-010254,36.0,37.0,38.0
sub-010093,34.0,37.0,36.0
sub-010256,28.0,18.0,32.0
sub-010137,34.0,24.0,39.0
sub-010136,34.0,35.0,36.0
sub-010142,38.0,38.0,39.0
sub-010262,36.0,34.0,33.0
sub-010264,38.0,34.0,35.0
sub-010036,38.0,29.0,38.0
sub-010239,13.0,13.0,13.0
sub-010138,34.0,36.0,32.0
sub-010148,35.0,37.0,38.0
sub-010152,35.0,38.0,32.0
sub-010146,34.0,35.0,28.0
sub-010141,31.0,34.0,33.0
sub-010257,38.0,31.0,35.0
sub-010265,32.0,23.0,32.0
sub-010258,40.0,40.0,33.0
sub-010260,34.0,27.0,32.0
sub-010263,30.0,31.0,32.0
sub-010271,34.0,22.0,32.0
sub-010269,33.0,34.0,35.0
sub-010267,35.0,34.0,32.0
sub-010273,27.0,24.0,20.0
sub-010163,39.0,32.0,40.0
sub-010165,34.0,30.0,34.0
sub-010162,32.0,27.0,33.0
sub-010270,35.0,30.0,35.0
sub-010268,34.0,36.0,33.0
sub-010155,19.0,17.0,20.0
sub-010164,36.0,39.0,37.0
sub-010272,39.0,40.0,39.0
sub-010261,39.0,39.0,35.0
sub-010266,34.0,27.0,35.0
sub-010274,31.0,26.0,29.0
sub-010166,34.0,21.0,34.0
sub-010255,35.0,30.0,35.0
sub-010275,27.0,25.0,25.0
sub-010168,34.0,32.0,39.0
sub-010157,30.0,33.0,31.0
sub-010176,36.0,26.0,33.0
sub-010276,34.0,40.0,29.0
sub-010279,39.0,39.0,39.0
sub-010280,32.0,28.0,31.0
sub-010281,,,
sub-010278,40.0,38.0,40.0
sub-010277,38.0,38.0,37.0
sub-010282,35.0,35.0,36.0
sub-010283,33.0,27.0,30.0
sub-010284,36.0,36.0,28.0
sub-010285,40.0,40.0,40.0
sub-010287,20.0,23.0,23.0
sub-010288,28.0,35.0,33.0
sub-010290,39.0,38.0,38.0
sub-010291,40.0,40.0,40.0
sub-010289,36.0,35.0,36.0
sub-010286,40.0,40.0,38.0
sub-010191,35.0,21.0,37.0
sub-010293,,,
sub-010192,39.0,35.0,34.0
sub-010292,32.0,21.0,32.0
sub-010193,39.0,35.0,37.0
sub-010296,36.0,33.0,36.0
sub-010194,36.0,36.0,36.0
sub-010195,40.0,40.0,39.0
sub-010294,38.0,36.0,39.0
sub-010297,34.0,27.0,38.0
sub-010196,39.0,36.0,37.0
sub-010298,37.0,37.0,36.0
sub-010200,34.0,38.0,36.0
sub-010299,25.0,29.0,25.0
sub-010201,36.0,17.0,37.0
sub-010295,29.0,21.0,37.0
sub-010300,32.0,31.0,27.0
sub-010213,35.0,33.0,35.0
sub-010204,35.0,36.0,33.0
sub-010214,39.0,34.0,39.0
sub-010301,34.0,25.0,34.0
sub-010215,32.0,31.0,33.0
sub-010210,31.0,20.0,22.0
sub-010303,35.0,36.0,31.0
sub-010218,37.0,20.0,34.0
sub-010203,37.0,35.0,40.0
sub-010306,40.0,33.0,35.0
sub-010319,36.0,35.0,33.0
sub-010216,32.0,27.0,28.0
sub-010305,37.0,28.0,36.0
sub-010220,32.0,31.0,25.0
sub-010320,,,
sub-010308,32.0,20.0,30.0
sub-010307,35.0,32.0,36.0
sub-010302,30.0,28.0,34.0
sub-010309,34.0,36.0,29.0
sub-010304,36.0,24.0,35.0
sub-010224,38.0,33.0,35.0
sub-010225,,,
sub-010310,34.0,35.0,36.0
sub-010312,38.0,34.0,37.0
sub-010253,,,
sub-010314,35.0,33.0,33.0
sub-010226,35.0,34.0,33.0
sub-010311,35.0,37.0,39.0
sub-010228,37.0,29.0,36.0
sub-010315,33.0,33.0,35.0
sub-010317,32.0,24.0,27.0
sub-010229,35.0,34.0,34.0
sub-010227,35.0,34.0,31.0
sub-010316,38.0,35.0,38.0
sub-010230,38.0,32.0,38.0
sub-010005,39.0,39.0,39.0
sub-010231,36.0,27.0,36.0
sub-010232,37.0,34.0,32.0
sub-010233,32.0,17.0,31.0
sub-010318,32.0,20.0,39.0
